UNIX Time,Date,Time,Price,Volume,Open,High,Low,Close,MACD (12|26|9)-EMAS,MACD (12|26|9)-EMAF,MACD (12|26|9)-MACD,MACD (12|26|9)-SIGNAL
1475470800,10/03/2016,00:00:00,8.45,515700,8.28,8.46,8.28,8.45,8.41841776,8.75094674,-0.33252898,-0.42004708
1475557200,10/04/2016,00:00:00,8.45,352000,8.47,8.55,8.38,8.45,8.42327656,8.72865439,-0.30537783,-0.39711323
1475643600,10/05/2016,00:00:00,8.46,420200,8.44,8.53,8.39,8.46,8.42892632,8.70875406,-0.27982774,-0.37365613
1475730000,10/06/2016,00:00:00,8.3,328100,8.43,8.46,8.25,8.3,8.40909150,8.67847598,-0.26938448,-0.35280180
1475816400,10/07/2016,00:00:00,8.24,281900,8.29,8.36,8.19,8.24,8.38307743,8.64599628,-0.26291886,-0.33482521
1476075600,10/10/2016,00:00:00,8.5,310900,8.3,8.51,8.26,8.5,8.40106551,8.63518174,-0.23411623,-0.31468341
1476162000,10/11/2016,00:00:00,8.2,425100,8.44,8.44,8.1,8.2,8.37013236,8.60294606,-0.23281370,-0.29830947
1476248400,10/12/2016,00:00:00,8.25,327100,8.19,8.29,8.03,8.25,8.35165046,8.57680190,-0.22515145,-0.28367787
1476334800,10/13/2016,00:00:00,8.09,506600,8.2,8.22,8.01,8.09,8.31139654,8.54074250,-0.22934596,-0.27281149
1476421200,10/14/2016,00:00:00,7.94,560400,8.1,8.13,7.85,7.94,8.25425861,8.49624306,-0.24198445,-0.26664608
1476680400,10/17/2016,00:00:00,8.0,315000,7.95,8.2,7.91,8.0,8.21514190,8.45948431,-0.24434241,-0.26218535
1476766800,10/18/2016,00:00:00,8.09,188700,8.1,8.19,7.99,8.09,8.19588930,8.43211511,-0.23622580,-0.25699344
1476853200,10/19/2016,00:00:00,8.1,273200,8.12,8.17,8.0,8.1,8.18113710,8.40751399,-0.22637689,-0.25087013
1476939600,10/20/2016,00:00:00,8.1,339000,8.1,8.15,7.93,8.1,8.16865447,8.38473517,-0.21608070,-0.24391224
1477026000,10/21/2016,00:00:00,8.09,367000,8.02,8.13,7.96,8.09,8.15655378,8.36290294,-0.20634916,-0.23639962
1477285200,10/24/2016,00:00:00,8.2,229000,8.13,8.21,8.08,8.2,8.16323782,8.35083605,-0.18759824,-0.22663935
1477371600,10/25/2016,00:00:00,8.0,399100,8.17,8.22,7.97,8.0,8.13812431,8.32484820,-0.18672389,-0.21865626
1477458000,10/26/2016,00:00:00,7.81,395800,7.95,8.03,7.8,7.81,8.08764364,8.28671129,-0.19906765,-0.21473854
1477544400,10/27/2016,00:00:00,7.64,480100,7.87,7.87,7.6,7.64,8.01877539,8.23880675,-0.22003136,-0.21579710
1477630800,10/28/2016,00:00:00,7.58,374600,7.56,7.76,7.5,7.58,7.95127148,8.19000625,-0.23873477,-0.22038463
1477890000,10/31/2016,00:00:00,7.66,402400,7.57,7.67,7.46,7.66,7.90646049,8.15074653,-0.24428604,-0.22516492
1477976400,11/01/2016,00:00:00,7.53,381300,7.66,7.71,7.43,7.53,7.84854349,8.10476531,-0.25622182,-0.23137630
1478062800,11/02/2016,00:00:00,7.4,519900,7.53,7.61,7.35,7.4,7.77953680,8.05256047,-0.27302367,-0.23970577
1478149200,11/03/2016,00:00:00,6.23,2559500,6.21,6.93,6.12,6.23,7.54114652,7.91755599,-0.37640947,-0.26704651
1478235600,11/04/2016,00:00:00,6.37,825100,6.23,6.52,6.22,6.37,7.36097013,7.80292221,-0.44195208,-0.30202762
1478498400,11/07/2016,00:00:00,6.48,1006100,6.5,6.85,6.43,6.48,7.22543627,7.70492797,-0.47949171,-0.33752044
1478584800,11/08/2016,00:00:00,6.61,769700,6.42,6.74,6.33,6.61,7.13075376,7.62382220,-0.49306843,-0.36863004
1478671200,11/09/2016,00:00:00,7.19,614100,6.5,7.23,6.44,7.19,7.13986857,7.59168722,-0.45181865,-0.38526776
1478757600,11/10/2016,00:00:00,7.61,980000,7.43,7.9,7.31,7.61,7.21219648,7.59304372,-0.38084724,-0.38438366
1478844000,11/11/2016,00:00:00,7.91,424300,7.64,7.96,7.51,7.91,7.31955087,7.61652197,-0.29697110,-0.36690115
1479103200,11/14/2016,00:00:00,7.75,459400,7.94,8.08,7.71,7.75,7.38577381,7.62640923,-0.24063542,-0.34164800
1479189600,11/15/2016,00:00:00,7.72,237800,7.75,7.81,7.6,7.72,7.43719323,7.63334188,-0.19614865,-0.31254813
1479276000,11/16/2016,00:00:00,7.93,277800,7.71,7.94,7.7,7.93,7.51300965,7.65531655,-0.14230690,-0.27849988
1479362400,11/17/2016,00:00:00,7.97,357900,7.96,8.06,7.85,7.97,7.58331586,7.67862644,-0.09531058,-0.24186202
1479448800,11/18/2016,00:00:00,8.01,225100,7.99,8.03,7.91,8.01,7.64895957,7.70317263,-0.05421305,-0.20433223
1479708000,11/21/2016,00:00:00,8.01,361600,8.01,8.06,7.95,8.01,7.70450425,7.72590058,-0.02139633,-0.16774505
1479794400,11/22/2016,00:00:00,8.05,189100,8.03,8.05,7.97,8.05,7.75765745,7.74990795,0.00774950,-0.13264614
1479880800,11/23/2016,00:00:00,8.01,220000,7.98,8.02,7.94,8.01,7.79647938,7.76917402,0.02730535,-0.10065584
1480053600,11/25/2016,00:00:00,7.91,78200,7.97,7.99,7.87,7.91,7.81394409,7.77960558,0.03433851,-0.07365697
1480312800,11/28/2016,00:00:00,7.74,230600,7.91,7.95,7.73,7.74,7.80256808,7.77667183,0.02589624,-0.05374633
1480399200,11/29/2016,00:00:00,7.67,315300,7.74,7.78,7.57,7.67,7.78217299,7.76877021,0.01340277,-0.04031651
1480485600,11/30/2016,00:00:00,7.55,356900,7.69,7.7,7.43,7.55,7.74645407,7.75256501,-0.00611095,-0.03347540
1480572000,12/01/2016,00:00:00,7.44,285400,7.54,7.79,7.35,7.44,7.69930729,7.72941205,-0.03010476,-0.03280127
1480658400,12/02/2016,00:00:00,7.39,283000,7.41,7.5,7.28,7.39,7.65172155,7.70427042,-0.05254887,-0.03675079
1480917600,12/05/2016,00:00:00,7.61,337000,7.46,7.66,7.46,7.61,7.64530285,7.69728742,-0.05198457,-0.03979755
1481004000,12/06/2016,00:00:00,7.8,335500,7.63,7.83,7.51,7.8,7.66910241,7.70489576,-0.03579335,-0.03899671
1481090400,12/07/2016,00:00:00,7.99,478700,7.79,8.09,7.79,7.99,7.71847127,7.72601459,-0.00754332,-0.03270603
1481176800,12/08/2016,00:00:00,8.09,387900,7.99,8.15,7.92,8.09,7.77562954,7.75297648,0.02265306,-0.02163421
1481263200,12/09/2016,00:00:00,8.06,387900,8.1,8.12,8.0,8.06,7.81937884,7.77571896,0.04365988,-0.00857539
1481522400,12/12/2016,00:00:00,7.91,275800,8.06,8.13,7.85,7.91,7.83332056,7.78566570,0.04765485,0.00267066
1481608800,12/13/2016,00:00:00,7.92,390800,7.96,8.05,7.87,7.92,7.84665586,7.79561639,0.05103946,0.01234442
1481695200,12/14/2016,00:00:00,7.92,403500,7.9,8.05,7.83,7.92,7.85793957,7.80482999,0.05310958,0.02049745
1481781600,12/15/2016,00:00:00,7.89,261000,7.9,8.04,7.78,7.89,7.86287194,7.81113888,0.05173306,0.02674457
1481868000,12/16/2016,00:00:00,8.0,535400,7.96,8.14,7.96,8.0,7.88396857,7.82512859,0.05883997,0.03316365
1482127200,12/19/2016,00:00:00,7.94,299900,8.0,8.05,7.89,7.94,7.89258879,7.83363759,0.05895120,0.03832116
1482213600,12/20/2016,00:00:00,7.95,224400,7.99,8.05,7.88,7.95,7.90142128,7.84225703,0.05916426,0.04248978
